subject_id,condition,coder,age,trial_type,slide_no,fam_item1,fam_item2,option1_cause,option1_effect,option2_cause,option2_effect,response,adults,response_verbose
sub-LIU-causalsig-s001,experimental-1,Jo,8.92,comprehension,15,wet,rain,rain,wet,wet,rain,1,1,
sub-LIU-causalsig-s001,experimental-1,Jo,8.92,psychosomatic,22,see something,NA,see something,feel hungry,see something,feel pain,1,1,
sub-LIU-causalsig-s001,experimental-1,Jo,8.92,asymmetric,29,see something,kick something,see something,kick something,kick something,see something,1,1,"""becase if i see a ball or anything if its mine, i would kick it and not really kick it and then see it"""
sub-LIU-causalsig-s001,experimental-1,Jo,8.92,asymmetric,36,hear something,reach for something,reach for something,hear something,hear something,reach for something,2,2,"""because maybe its like if you hear something it could be like an animal on top of something and he's trying to reach for it"""
sub-LIU-causalsig-s002,experimental-2,Jo,6.5,comprehension,15,wet,rain,wet,rain,rain,wet,2,2,
sub-LIU-causalsig-s002,experimental-2,Jo,6.5,psychosomatic,21,see something,NA,see something,become hungry,see something,feel pain,1,1,
sub-LIU-causalsig-s002,experimental-2,Jo,6.5,psychosomatic,25,hear something,NA,hear something,feel scared,hear something,feel pain,1,1,
sub-LIU-causalsig-s002,experimental-2,Jo,6.5,psychosomatic,29,choose what to do,NA,choose what to do,feel sick,choose what to do,feel tired,2,2,
sub-LIU-causalsig-s002,experimental-2,Jo,6.5,psychosomatic,33,remember something,NA,remember something,feel tired,remember something,feel tired,NA,2,"""both"""
sub-LIU-causalsig-s002,experimental-2,Jo,6.5,asymmetric,39,kick something,see something,see something,kick something,kick something,see something,1,1,"""he sees the soccer ball and then he kicks the soccer ball"""
sub-LIU-causalsig-s002,experimental-2,Jo,6.5,asymmetric,45,hear something,reach for something,reach for something,hear something,hear something,reach for something,2,2,"""he hears something and then tries to grab it"""
sub-LIU-causalsig-s002,experimental-2,Jo,6.5,asymmetric,51,remember something,jump up and down,jump up and down,remember something,remember something,jump up and down,2,2,"""he remembered that he was jumping on a trampoline and that made him jump up and down"""
sub-LIU-causalsig-s002,experimental-2,Jo,6.5,asymmetric,58,reach for something,take a walk,reach for something,take a walk,take a walk,reach for something,2,2,"""because it makes more sense...he is taking a walk then he sees something then he reaches for it"""
